,unnamed:_0,unnamed:_0,incubation_center,name_of_the_startup,location_of_company,sector,company_profile,processed
0,0,0,SIIC IIT KANPUR,E-Trainer Analytics Wizard Pvt ltd,New Delhi,sector,"Fitbuddy, a flagship brand under E-Trainer Analytics Wizards Pvt. Ltd, will facilitate hyper personalised trainer exp providing real time workout Analytics as well as deviation alerts to users. It will be affordable and accessible fitness SaaS model which will help customers to achieve their fitness goals and allow trainers to expand their business scale.",fitbuddy flagship brand e trainer analytics wizards pvt ltd facilitate hyper personalised trainer exp providing real time workout analytics well deviation alerts users affordable accessible fitness saas model help customers achieve fitness goals allow trainers expand business scale
1,1,1,SIIC IITK,Invariance Automation Private Limited,"Kanpur, UP",Industrial Automation,Currently we are developing the infrastructure for double layer PCB manufacturing and assembly of SMD components over the PCB which is also known as Smt Technology. Our major products under development are Pick and Place machine and Temperature profile controlled reflow oven.,currently developing infrastructure double layer pcb manufacturing assembly smd components pcb also known smt technology major products development pick place machine temperature profile controlled reflow oven
2,2,2,"SIIC, IIT Kanpur",Neoperk Technologies Pvt. Ltd.,"Mumbai, Maharashtra",Agri-Tech - Soil Testing,"Neoperk makes large scale soil testing extremely easy, reliable and affordable by testing more than 1000 samples in less than 15 days at zero recurring cost of chemicals for Farmer Producer Organizations (FPO/FPCs) using our rapid soil testing technology. Based on the plant-available nutrients ÃÂ¯ÃÂ¿ÃÂ½ N, P, K, pH and Organic Carbon (OC) measured in soil, customized crop-specific recommendations are given to the farmers which helps them reduce cultivation cost, improve crop yields in terms of quality as well as quantity and increase their net income by up to 40%.",neoperk makes large scale soil testing extremely easy reliable affordable testing samples less days zero recurring cost chemicals farmer producer organizations fpo fpcs using rapid soil testing technology based plant available nutrients n p k ph organic carbon oc measured soil customized crop specific recommendations given farmers helps reduce cultivation cost improve crop yields terms quality well quantity increase net income
3,3,3,SIIC IIT KANPUR,WeRehab Technologies Pvt Ltd,Nagpur,Health tech,"WeRehab Technologies Pvt Ltd. Is a startup founded in Dec 2020, incubated at IIT Kanpur. We are virtual foot health and Physiotherapy clinic. Our product portfolio includes custom orthotic insoles and slippers for improving foot health of our patients and clients. And a smart insole technology for gait analysis of patients, athletes, and fitness enthusiasts who like to be on top of their performance and health.
Through this technology, we'll make it easier for physios, coaches and other related physicians to early diagnose various conditions such as diabetic foot ulcers, osteoarthritis, muscular imbalances, injury risk, fall risk, etc.

By using the data from our device, the professionals will be able to give early treatment completely personalized to the person's condition. Apart from that, they will also be able to monitor the progress and alter treatment methods if needed. 

For athletes: using our smart insole, coaches and the sports medicine team will be able to get the on field data of the athlete which will help them on the biomechanical level. This data will be used to implement training methods that will reduce injury risk and fatigue, and improve performance levels of the athletes as well.",werehab technologies pvt ltd startup founded dec incubated iit kanpur virtual foot health physiotherapy clinic product portfolio includes custom orthotic insoles slippers improving foot health patients clients smart insole technology gait analysis patients athletes fitness enthusiasts like top performance health technology make easier physios coaches related physicians early diagnose various conditions diabetic foot ulcers osteoarthritis muscular imbalances injury risk fall risk etc using data device professionals able give early treatment completely personalized person condition apart also able monitor progress alter treatment methods needed athletes using smart insole coaches sports medicine team able get field data athlete help biomechanical level data used implement training methods reduce injury risk fatigue improve performance levels athletes well
4,4,4,IIT Kanpur,Arthavedika Tech Pvt Ltd,"Noida, Uttar Pradesh",Fintech,"Arthavedika Tech Pvt Ltd is a DIPP certified technology Startup incubatee, founded by a team of experienced professionals in the Indian IT industry, under Foundation for Innovation & Research in Science and Technology, with its registered address at IIT Kanpur.

In the organised income sector there are different ways of recognising Financial Identity of a person through his salaried employment, ITR and other financial instruments to validate his creditworthiness. But this is not true for the unorganized income sector, say for a maid, electrician, Plumber etc. where they do not have an instrument to show their financial identity and thus the creditworthiness. Because of this they are deprived of many of the schemes of financial assistance from government. 

The problem will be resolved through a Deeptech platform (AI) and through an organised field force collating and verifying field data. The details of the beneficiary is taken in different headings like, the personal information, Acquaintances, Bank details, Loan details , Income , Skill set, Proof of assets, Family details , Expenditure details , Health information , and social contacts
",arthavedika tech pvt ltd dipp certified technology startup incubatee founded team experienced professionals indian industry foundation innovation research science technology registered address iit kanpur organised income sector different ways recognising financial identity person salaried employment itr financial instruments validate creditworthiness true unorganized income sector say maid electrician plumber etc instrument show financial identity thus creditworthiness deprived many schemes financial assistance government problem resolved deeptech platform ai organised field force collating verifying field data details beneficiary taken different headings like personal information acquaintances bank details loan details income skill set proof assets family details expenditure details health information social contacts
5,5,5,SIIC IIT Kanpur,Life and Limb (P) Ltd,"Kanpur, Uttar Pradesh",Health-Tech,"Life and Limb (P) Ltd. aims to provide a cost-effective and high-quality prosthesis solution for patient-specific fitment, with a dedicated team of professionals, and appreciated by its users. Life and Limb (P) Ltd seeks to cater to 5 lac people in India, having upper limb amputation.",life limb p ltd aims provide cost effective high quality prosthesis solution patient specific fitment dedicated team professionals appreciated users life limb p ltd seeks cater lac people india upper limb amputation
6,6,6,"SIIC, IIT Kanpur",Offgrid EnergyLabs,Kanpur Nagar,Clean Energy,"Offgrid EnergyLabs is a deep-tech energy storage company that originated from IIT Kanpur. Founded in 2018 by a team of PhDs (Tejas Kusurkar - CEO, Brindan Tulachan - CTO, Rishi Srivastava - Business Development & Partnerships, and Ankur Agarwal - CFO), the company is dedicated to developing innovative, sustainable, and cost-efficient battery technologies.
Their core innovation lies in their patented ZincGelÂ® battery technology. This technology stands out for using commonly available, non-toxic, and 100% sustainable materials, making it a greener alternative to traditional lithium-ion and lead-acid batteries. Offgrid EnergyLabs focuses on three key areas: chemistry, materials, and battery design.
The company has secured over 15 patents and IPs, validating its technological advancements. While originating from IIT Kanpur, their main corporate offices are located in Noida (UP) and New Delhi, with an international presence in San Francisco, USA. They partner with leading companies in the utility, telecom, and mobility sectors for product validation and deployment globally.",offgrid energylabs deep tech energy storage company originated iit kanpur founded team phds tejas kusurkar ceo brindan tulachan cto rishi srivastava business development partnerships ankur agarwal cfo company dedicated developing innovative sustainable cost efficient battery technologies core innovation lies patented zincgel battery technology technology stands using commonly available non toxic sustainable materials making greener alternative traditional lithium ion lead acid batteries offgrid energylabs focuses three key areas chemistry materials battery design company secured patents ips validating technological advancements originating iit kanpur main corporate offices located noida new delhi international presence san francisco usa partner leading companies utility telecom mobility sectors product validation deployment globally
7,7,7,Chitkara innovation Incubator Foundation,Xovian Aerospace Pvt Ltd,Bengaluru,Aerospace and defence,Xovian is an Aerospace Company with a vision to provide low-cost sustainable solutions in satellite technologies. The company is backed up with the team of decades of experience in satellite technology.,xovian aerospace company vision provide low cost sustainable solutions satellite technologies company backed team decades experience satellite technology
8,8,8,Chitkara innovation Incubator Foundation,Dagriation Solutions Pvt Limited,Karnal,IT & Electronics,"It is inolved in Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms.",inolved software publishing consultancy supply software publishing includes production supply documentation ready made non customized software operating systems software business applications software computer games software platforms
9,9,9,Chitkara innovation Incubator Foundation,Murph Technologies Pvt Limited,Chandigarh,IOT,"Murph Technologies is a provider that promises to deliver the most innovative and agile solutions and products. We majorly work in the field of education and software services. For students, we provide a range of embedded learner kits along with independent electronic components to get their creative minds working.",murph technologies provider promises deliver innovative agile solutions products majorly work field education software services students provide range embedded learner kits along independent electronic components get creative minds working
10,10,10,Chitkara innovation Incubator Foundation,6DOF Solutions LLP,Chandigarh,AR/VR,"6DOF develops immersive technology solutions that have shown an incredible ability to educate, train, and solve real-world problems.",dof develops immersive technology solutions shown incredible ability educate train solve real world problems
11,11,11,Chitkara innovation Incubator Foundation,Hackspace Security Services LLP,Delhi,IOT & healthcare,"Hackspace Security Services LLP is an Indian Limited Liability Partnership (LLP) incorporated on July 22, 2020, and is currently Active.
Location: Based in New Delhi, Delhi, India. Its registered address is House No 63 Back Portion 2nd Floor, Bharat Nagar, Ashok Vihar PH 4, New Delhi, Delhi, India - 110052.
Core Focus (as a startup): The company is primarily engaged in developing E-Stretchers for Hospitals. This indicates their specialization in the intersection of IoT (Internet of Things) and Healthcare, aiming to provide smart solutions for medical facilities. Their work on ""E-Stretchers"" suggests an effort to modernize patient transport and monitoring within healthcare settings using technology.
Designated Partners: The designated partners of the LLP are Ashish Gera and Seema Rani.
Incubation: Hackspace Security Services LLP has been incubated by the Chitkara Innovation Incubation Foundation (CIIF), particularly under the MeitY TIDE 2.0 Grant scheme. This affiliation with a reputable incubator like CIIF, which is known for supporting innovative startups, lends credibility to their technical work.
Website: Currently, Hackspace Security Services LLP does not have a functional and publicly accessible website. While hackspace.co.in is sometimes listed as their domain in company records, it does not resolve to a live website.
Contact (Primary Available Method): The official email address listed for the LLP is info@hackspace.co.in.",hackspace security services llp indian limited liability partnership llp incorporated july currently active location based new delhi delhi india registered address house back portion nd floor bharat nagar ashok vihar ph new delhi delhi india core focus startup company primarily engaged developing e stretchers hospitals indicates specialization intersection iot internet things healthcare aiming provide smart solutions medical facilities work e stretchers suggests effort modernize patient transport monitoring within healthcare settings using technology designated partners designated partners llp ashish gera seema rani incubation hackspace security services llp incubated chitkara innovation incubation foundation ciif particularly meity tide grant scheme affiliation reputable incubator like ciif known supporting innovative startups lends credibility technical work website currently hackspace security services llp functional publicly accessible website hackspace co sometimes listed domain company records resolve live website contact primary available method official email address listed llp info hackspace co
12,12,12,Chitkara innovation Incubator Foundation,Sustainergic Tech Pvt. Ltd.,Chandigarh,IOT,"The startup is a technology-based startup focused in the field of smart and user-friendly consumer appliance for domestic and commercial use.
",startup technology based startup focused field smart user friendly consumer appliance domestic commercial use
13,13,13,SIIC-IIT Kanpur,?GeoWiz Consultancy Pvt. Ltd,Kanpur,Geospatial data services,"GeoWiz is an ÃÂ¯ÃÂ¿ÃÂ½Online platformÃÂ¯ÃÂ¿ÃÂ½ for high-resolution geospatial data, maps, services, and products. This platform enables geological integration with geospatial data study and experimentation involving advanced technology (AI& ML).",geowiz online platform high resolution geospatial data maps services products platform enables geological integration geospatial data study experimentation involving advanced technology ai ml
