,incubation_center,name_of_the_startup,location_of_company,sector,company_profile,processed
0,SIIC IIT KANPUR,E-Trainer Analytics Wizard Pvt ltd,New Delhi,Fit-Tech,"Fitbuddy, a flagship brand under E-Trainer Analytics Wizards Pvt. Ltd, will facilitate hyper personalised trainer exp providing real time workout Analytics as well as deviation alerts to users. It will be affordable and accessible fitness SaaS model which will help customers to achieve their fitness goals and allow trainers to expand their business scale.",fitbuddy flagship brand e trainer analytics wizards pvt ltd facilitate hyper personalised trainer exp providing real time workout analytics well deviation alerts users affordable accessible fitness saas model help customers achieve fitness goals allow trainers expand business scale
1,SIIC IITK,Invariance Automation Private Limited,"Kanpur, UP",Industrial Automation,Currently we are developing the infrastructure for double layer PCB manufacturing and assembly of SMD components over the PCB which is also known as Smt Technology. Our major products under development are Pick and Place machine and Temperature profile controlled reflow oven.,currently developing infrastructure double layer pcb manufacturing assembly smd components pcb also known smt technology major products development pick place machine temperature profile controlled reflow oven
2,"SIIC, IIT Kanpur",Neoperk Technologies Pvt. Ltd.,"Mumbai, Maharashtra",Agri-Tech - Soil Testing,"Neoperk makes large scale soil testing extremely easy, reliable and affordable by testing more than 1000 samples in less than 15 days at zero recurring cost of chemicals for Farmer Producer Organizations (FPO/FPCs) using our rapid soil testing technology. Based on the plant-available nutrients ï¿½ N, P, K, pH and Organic Carbon (OC) measured in soil, customized crop-specific recommendations are given to the farmers which helps them reduce cultivation cost, improve crop yields in terms of quality as well as quantity and increase their net income by up to 40%.",neoperk makes large scale soil testing extremely easy reliable affordable testing samples less days zero recurring cost chemicals farmer producer organizations fpo fpcs using rapid soil testing technology based plant available nutrients n p k ph organic carbon oc measured soil customized crop specific recommendations given farmers helps reduce cultivation cost improve crop yields terms quality well quantity increase net income
3,SIIC IIT KANPUR,WeRehab Technologies Pvt Ltd,Nagpur,Health tech,"WeRehab Technologies Pvt Ltd. Is a startup founded in Dec 2020, incubated at IIT Kanpur. We are virtual foot health and Physiotherapy clinic. Our product portfolio includes custom orthotic insoles and slippers for improving foot health of our patients and clients. And a smart insole technology for gait analysis of patients, athletes, and fitness enthusiasts who like to be on top of their performance and health.
Through this technology, we'll make it easier for physios, coaches and other related physicians to early diagnose various conditions such as diabetic foot ulcers, osteoarthritis, muscular imbalances, injury risk, fall risk, etc.

By using the data from our device, the professionals will be able to give early treatment completely personalized to the person's condition. Apart from that, they will also be able to monitor the progress and alter treatment methods if needed. 

For athletes: using our smart insole, coaches and the sports medicine team will be able to get the on field data of the athlete which will help them on the biomechanical level. This data will be used to implement training methods that will reduce injury risk and fatigue, and improve performance levels of the athletes as well.",werehab technologies pvt ltd startup founded dec incubated iit kanpur virtual foot health physiotherapy clinic product portfolio includes custom orthotic insoles slippers improving foot health patients clients smart insole technology gait analysis patients athletes fitness enthusiasts like top performance health technology make easier physios coaches related physicians early diagnose various conditions diabetic foot ulcers osteoarthritis muscular imbalances injury risk fall risk etc using data device professionals able give early treatment completely personalized person condition apart also able monitor progress alter treatment methods needed athletes using smart insole coaches sports medicine team able get field data athlete help biomechanical level data used implement training methods reduce injury risk fatigue improve performance levels athletes well
4,IIT Kanpur,Arthavedika Tech Pvt Ltd,"Noida, Uttar Pradesh",Fintech,"Arthavedika Tech Pvt Ltd is a DIPP certified technology Startup incubatee, founded by a team of experienced professionals in the Indian IT industry, under Foundation for Innovation & Research in Science and Technology, with its registered address at IIT Kanpur.

In the organised income sector there are different ways of recognising Financial Identity of a person through his salaried employment, ITR and other financial instruments to validate his creditworthiness. But this is not true for the unorganized income sector, say for a maid, electrician, Plumber etc. where they do not have an instrument to show their financial identity and thus the creditworthiness. Because of this they are deprived of many of the schemes of financial assistance from government. 

The problem will be resolved through a Deeptech platform (AI) and through an organised field force collating and verifying field data. The details of the beneficiary is taken in different headings like, the personal information, Acquaintances, Bank details, Loan details , Income , Skill set, Proof of assets, Family details , Expenditure details , Health information , and social contacts
",arthavedika tech pvt ltd dipp certified technology startup incubatee founded team experienced professionals indian industry foundation innovation research science technology registered address iit kanpur organised income sector different ways recognising financial identity person salaried employment itr financial instruments validate creditworthiness true unorganized income sector say maid electrician plumber etc instrument show financial identity thus creditworthiness deprived many schemes financial assistance government problem resolved deeptech platform ai organised field force collating verifying field data details beneficiary taken different headings like personal information acquaintances bank details loan details income skill set proof assets family details expenditure details health information social contacts
5,SIIC IIT Kanpur,Life and Limb (P) Ltd,"Kanpur, Uttar Pradesh",Health-Tech,"Life and Limb (P) Ltd. aims to provide a cost-effective and high-quality prosthesis solution for patient-specific fitment, with a dedicated team of professionals, and appreciated by its users. Life and Limb (P) Ltd seeks to cater to 5 lac people in India, having upper limb amputation.",life limb p ltd aims provide cost effective high quality prosthesis solution patient specific fitment dedicated team professionals appreciated users life limb p ltd seeks cater lac people india upper limb amputation
6,"SIIC, IIT Kanpur",Offgrid EnergyLabs,Kanpur Nagar,Clean Energy,Deep-science battery tech firm building efficient and sustainable technologies.,deep science battery tech firm building efficient sustainable technologies
7,Chitkara innovation Incubator Foundation,Xovian Aerospace Pvt Ltd,Bengaluru,Aerospace and defence,Xovian is an Aerospace Company with a vision to provide low-cost sustainable solutions in satellite technologies. The company is backed up with the team of decades of experience in satellite technology.,xovian aerospace company vision provide low cost sustainable solutions satellite technologies company backed team decades experience satellite technology
8,Chitkara innovation Incubator Foundation,Dagriation Solutions Pvt Limited,Karnal,IT & Electronics,"It is inolved in Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms.",inolved software publishing consultancy supply software publishing includes production supply documentation ready made non customized software operating systems software business applications software computer games software platforms
9,Chitkara innovation Incubator Foundation,Murph Technologies Pvt Limited,Chandigarh,IOT,"Murph Technologies is a provider that promises to deliver the most innovative and agile solutions and products. We majorly work in the field of education and software services. For students, we provide a range of embedded learner kits along with independent electronic components to get their creative minds working.",murph technologies provider promises deliver innovative agile solutions products majorly work field education software services students provide range embedded learner kits along independent electronic components get creative minds working
10,Chitkara innovation Incubator Foundation,6DOF Solutions LLP,Chnadigarh,AR/VR,"6DOF develops immersive technology solutions that have shown an incredible ability to educate, train, and solve real-world problems.",dof develops immersive technology solutions shown incredible ability educate train solve real world problems
11,Chitkara innovation Incubator Foundation,Hackspace Security Services LLP,Delhi,IOT & healthcare,The company is engaged in developing E- Stretchers for Hospitals.,company engaged developing e stretchers hospitals
12,Chitkara innovation Incubator Foundation,Sustainergic Tech Pvt. Ltd.,Chandigarh,IOT,"The startup is a technology-based startup focused in the field of smart and user-friendly consumer appliance for domestic and commercial use.
",startup technology based startup focused field smart user friendly consumer appliance domestic commercial use
13,SIIC-IIT Kanpur,?GeoWiz Consultancy Pvt. Ltd,Kanpur,Geospatial data services,"GeoWiz is an ï¿½Online platformï¿½ for high-resolution geospatial data, maps, services, and products. This platform enables geological integration with geospatial data study and experimentation involving advanced technology (AI& ML).",geowiz online platform high resolution geospatial data maps services products platform enables geological integration geospatial data study experimentation involving advanced technology ai ml
14,IIIT B Innovation Centre,DeepVisionTech Pvt. Ltd.,"Bangalore, Karnataka","Multiple (Assistive Tech) - Education, B2C, B2B, B2G","DeepVisionTech Pvt. Ltd. is a Social Startup based out of Bangalore, with a vision to empower people with disabilities to live independently by providing AI based innovative solutions. At the moment, we are working on solution Let'sTalkSign ï¿½ possibly the worldï¿½s first solution to empower deaf, speech & hearing impaired people with communication, get education in sign language and get access to essential services.",deepvisiontech pvt ltd social startup based bangalore vision empower people disabilities live independently providing ai based innovative solutions moment working solution let stalksign possibly world first solution empower deaf speech hearing impaired people communication get education sign language get access essential services
15,Pilani Innovation and Entrepreneurship Development Centre,Nawgati,Gurgoan,Mobility,"www.nawgati.com
",nawgati aims transform fueling experience fuel providers consumers offering ultimate fueling toolchain provide consumer app solutions businesses notably appeared shark tank india
16,Pilani Innovation and Entrepreneurship Development Centre,Adnue,Jodhpur,Advertising Technology,"www.adnue.com
",na
17,Pilani Innovation and Entrepreneurship Development Centre,Medsupervision,Faridabad,Healthcare,"https://medsupervision.com/
",na
18,Pilani Innovation and Entrepreneurship Development Centre,Nirogyan,New Delhi,Healthcare,"www.nirogyan.com
",na
19,Pilani Innovation and Entrepreneurship Development Centre,Valerio Electric,New Delhi,Electric Vechiles,https://www.indiamart.com/valerio-electric/profile.html,na
20,Pilani Innovation and Entrepreneurship Development Centre,Syzygy,Jaipur,Healthcare & Logistics,"www.syzygy.ml
",na
21,Pilani Innovation and Entrepreneurship Development Centre,Urbantrack,Pilani,Urban Transportation,"https://urbantrackindia.com/
",na
22,Pilani Innovation and Entrepreneurship Development Centre,Greynight,Bangalore,Space Tech,"http://www.greynight.space/
",na
23,Pilani Innovation and Entrepreneurship Development Centre,Finquant,Hazartganj,MicroFinance,,na
24,IIITB Innovation Centre,Breezy,"Bangalore, Karnataka","Environment, Technology",Breezy aims to provide Governments and SWMCs with an AI driven platform to cut down on logistics costs for garbage acquisition,breezy aims provide governments swmcs ai driven platform cut logistics costs garbage acquisition
25,DERBI Foundation,Backyard Creators Pvt Ltd,Madhurai,Healthcare,Adhesive Non Surgical Hearing Aid for By birth and totally Hearing loss patients,adhesive non surgical hearing aid birth totally hearing loss patients
26,DERBI Foundation,Machphy Solutions,Bhubaneswar,Healthcare cold chain,"We are a team of innovators and engineers at MachPhy TM enthused to build sustainable solutions. We have expertise in the fields of energy systems, robotics, machines, agricultural systems, and cold chain solutions & solar solutions.

We innovate and develop products for our clients, using state of art technology and pure aesthetic designs. Ranging from commercial to daily usages, we provide varieties of conventional necessities that are cheaper and ready to use for both rural to urban requirements. We provide cold-chain solutions to our customers with state-of-the-art technology and the best user experience such that our technology solutions translate to our customer's values.",team innovators engineers machphy tm enthused build sustainable solutions expertise fields energy systems robotics machines agricultural systems cold chain solutions solar solutions innovate develop products clients using state art technology pure aesthetic designs ranging commercial daily usages provide varieties conventional necessities cheaper ready use rural urban requirements provide cold chain solutions customers state art technology best user experience technology solutions translate customer values
27,DERBI Foundation,Fititout Solutions,Chennai,HEALTHCARE,"An assistive tech startup based in Chennai, incubated at Derbi Foundation, Bangalore focusing on developing devices for special children, locomotive disabled and elderly. Active and standing wheelchairs are the initial products.",assistive tech startup based chennai incubated derbi foundation bangalore focusing developing devices special children locomotive disabled elderly active standing wheelchairs initial products
28,DERBI Foundation,Carbon Hubs Private Limited,"Bangalore, Karnataka",Clean and Health Tech,Air Quality maintenances and purification,air quality maintenances purification
29,DERBI Foundation,Prayasta 3D Inventions Private Limited,"Bangalore, Karnataka",Healthcare,Personalized and weight balanced external breast prostheses for mastectomy patients.,personalized weight balanced external breast prostheses mastectomy patients
